序号,物质名称,物质描述,EC号,CAS号,纳入日期,SVHC判定依据,ECHA决定/法规记录,法规结果日期
44,2-methoxyethyl acetate,,203-772-9,110-49-6,16-Jul-2019,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=0ffcbafeaf26119458db4bbdf0758da4_ED_71_2019.pdf,16-Jul-2019
45,2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one,,400-600-6,71868-10-5,16-Jan-2020,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b977519a78cec1963acf1ddcc1572d0c_ECHA_01_2020.pdf,16-Jan-2020
46,2-methylimidazole,,211-765-7,693-98-1,25-Jun-2020,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=09b0e6a4d83832985a79b11bb252eb00_D(2020)4578-DC.pdf,25-Jun-2020
47,"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine",,421-150-7,143860-04-2,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7d960a1f33ef535d988b70a96e6e28a2_decision_cand_list_20121219_en.pdf,19-Dec-2012
48,"4,4'- Diaminodiphenylmethane (MDA)",,202-974-4,101-77-9,28-Oct-2008,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7a694715d93e785e1f9ab2cd35835042_ed_67_2008_en.pdf,28-Oct-2008
49,"4,4'-(1-methylpropylidene)bisphenol",,201-025-1,77-40-7,08-Jul-2021,"Endocrine disrupting properties (Article 57(f) - environment)
Endocrine disrupting properties (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=af33435295c7e7935e940df0eec7944c_D(2021)4569-DC.pdf,08-Jul-2021
50,"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and its salts",,,,04-Feb-2026,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=29391e5dc53ba152ca18424d37cc09f9_D(2025)7771-DC.pdf,04-Feb-2026
51,"4,4'-bis(dimethylamino)-4''-(methylamino)trityl alcohol",,209-218-2,561-41-1,18-Jun-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=bfdd9ca3a26f8b2b71941fc40eda9c08_ed_87_2012_en.pdf,18-Jun-2012
52,"4,4'-bis(dimethylamino)benzophenone (Michler’s ketone)",,202-027-5,90-94-8,18-Jun-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7aa2cf3f4a714ed37edf283de429760b_ed_87_2012_en.pdf,18-Jun-2012
53,"4,4'-isopropylidenediphenol",,201-245-8,80-05-7,12-Jan-2017,"Toxic for reproduction (Article 57c)
Endocrine disrupting properties (Article 57(f) - environment)
Endocrine disrupting properties (Article 57(f) - human health)","https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=78f94a3820180891b680feb2de4c7929_SVHC_Decision_ED_01_2017.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2dd0a281574642f6cff606e276ab046d_ED_30_2017.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=dd4133f4530f94006905a26edb4b453d_SVHC_Decision_ED_01_2018.pdf",07-Jul-2017 | 12-Jan-2017 | 15-Jan-2018
54,"4,4'-methylenedi-o-toluidine",,212-658-8,838-88-0,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7878b11577ce3e998662bdf7cef22f2c_decision_cand_list_20121219_en.pdf,19-Dec-2012
55,"4,4'-oxydianiline and its salts",,,,19-Dec-2012,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=30a037c5dbf59f38c6377611a99d42ce_decision_cand_list_20121219_en.pdf,19-Dec-2012
56,"4,4'-sulphonyldiphenol",,201-250-5,80-09-1,17-Jan-2023,"Toxic for reproduction (Article 57c)
Endocrine disrupting properties (Article 57(f) - environment)
Endocrine disrupting properties (Article 57(f) - human health)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=7ce9c3fcf2b9dc2c73c0e381fa5cbf55_D(2022)9120-DC.pdf,17-Jan-2023
57,"4-(1,1,3,3-tetramethylbutyl)phenol",,205-426-2,140-66-9,19-Dec-2011,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=f40beefc73197ac332cda5a390047986_ed_77_2011_en.pdf,19-Dec-2011
58,"4-(1,1,3,3-tetramethylbutyl)phenol, ethoxylated","covering well-defined substances and UVCB substances, polymers and homologues",799-991-7,,19-Dec-2012,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d6e279e3fc2dd868e83539a42a547d80_decision_cand_list_20121219_en.pdf,19-Dec-2012
59,4-aminoazobenzene,,200-453-6,60-09-3,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=3c358691341504155861fb7d17eabfd9_decision_cand_list_20121219_en.pdf,19-Dec-2012
60,"4-heptylphenol, branched and linear","substances with a linear and/or branched alkyl chain with a carbon number of 7 covalently bound predominantly in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof",,,12-Jan-2017,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=11148b4d703398e6a52fcb7ae41215c9_SVHC_Decision_ED_01_2017.pdf,12-Jan-2017
61,"4-methyl-m-phenylenediamine (toluene-2,4-diamine)",,202-453-1,95-80-7,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b965b2300ba5d183acb7aec964717414_decision_cand_list_20121219_en.pdf,19-Dec-2012
62,"4-Nonylphenol, branched and linear","substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof",,,19-Dec-2012,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d2161262ee67a6c961ec2ae30763ecbe_decision_cand_list_20121219_en.pdf,19-Dec-2012
63,"4-Nonylphenol, branched and linear, ethoxylated","substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, ethoxylated covering UVCB- and well-defined substances, polymers and homologues, which include any of the individual isomers and/or combinations thereof",799-990-1,,20-Jun-2013,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=be27664d96ba472dc1499b5796e88ddc_decision_cand_list_20120620_en.pdf,20-Jun-2013
64,4-tert-butylphenol,,202-679-0,98-54-4,16-Jul-2019,Endocrine disrupting properties (Article 57(f) - environment),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1341adaa8d2b47010a7cda0c8355c9ef_ED_71_2019.pdf,16-Jul-2019
65,"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [2]",covering any of the individual stereoisomers of [1] and [2] or any combination thereof,,,15-Jun-2015,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5eacbb1124fced983053ad488e8a4809_SVHC_ED_DECISION.pdf,15-Jun-2015
66,"5-tert-butyl-2,4,6-trinitro-m-xylene (Musk xylene)",,201-329-4,81-15-2,28-Oct-2008,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=9da7b7639e3e72e81b0b87455079c945_ed_67_2008_en.pdf,28-Oct-2008
67,"6,6'-di-tert-butyl-2,2'-methylenedi-p-cresol",,,,17-Jan-2022,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=feb916c37038f8f1ab5acb9233249adb_D(2021)10043-DC.pdf,17-Jan-2022
68,"6-[(C10-C13)-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid",,701-118-1,2156592-54-8,21-Jan-2025,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=b41f482e3e16961f62f9cfca8a100589_D(2024)7663-DC.pdf,21-Jan-2025
69,6-methoxy-m-toluidine (p-cresidine),,204-419-1,120-71-8,19-Dec-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=62db3b34f23cbc93bdc1dd044888364e_decision_cand_list_20121219_en.pdf,19-Dec-2012
70,"[4-[4,4'-bis(dimethylamino)benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride",,208-953-6,548-62-9,18-Jun-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=ddbc448d8c71311eefe6ff5cad028ba6_ed_87_2012_en.pdf,18-Jun-2012
71,"[4-[[4-anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride",,219-943-6,2580-56-5,18-Jun-2012,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=e377df651d51cc9d506001db5a89aa93_ed_87_2012_en.pdf,18-Jun-2012
72,[Phthalato(2-)]dioxotrilead,,273-688-5,69011-06-9,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=dcc0be473a97b990343157b0e408e11b_decision_cand_list_20121219_en.pdf,19-Dec-2012
73,"Acetic acid, lead salt, basic",,257-175-3,51404-69-4,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=130e97136847e237ac85b52e8106040b_decision_cand_list_20121219_en.pdf,19-Dec-2012
74,Acids generated from chromium trioxide and their oligomers,,,,15-Dec-2010,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=27d4d59ac7b0ddbcd9c1a9c7a93b2a27_ed_95_2010_en.pdf,15-Dec-2010
75,Acrylamide,,201-173-7,79-06-1,30-Mar-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2bc9bcf25e272d7a556f79c2b97142b7_ed_68_2009_en.pdf,30-Mar-2010
76,"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",,287-476-5,85535-84-8,28-Oct-2008,"PBT (Article 57d)
vPvB (Article 57e)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=f5c222276b4589dafb31f834087dc10f_ed_67_2008_en.pdf,28-Oct-2008
77,Aluminosilicate Refractory Ceramic Fibres,"are fibres covered by index number 650-017-00-8 in Annex VI, part 3, table 3.1 of Regulation (EC) No 1272/2008 of the European Parliament and of the Council of 16 December 2008 on classification, labelling and packaging of substances and mixtures, and fulfil the three following conditions: a) oxides of aluminium and silicon are the main components present (in the fibres) within variable concentration ranges b) fibres have a length weighted geometric mean diameter less two standard geometric errors of 6 or less micrometres (µm) c) alkaline oxide and alkali earth oxide (Na2O+K2O+CaO+MgO+BaO) content less or equal to 18% by weight",,,13-Jan-2010,Carcinogenic (Article 57a),"https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=52357a1202c615a09bd090f2a454c412_ed_95_2012_en.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=52357a1202c615a09bd090f2a454c412_ed_77_2011_en.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=556df0a24b4167cd329b1824dc4c6e2e_ed_68_2009_en.pdf
https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=556df0a24b4167cd329b1824dc4c6e2e_ed_77_2011_en.pdf",13-Jan-2010 | 19-Dec-2011
78,Ammonium dichromate,,232-143-1,7789-09-5,18-Jun-2010,"Carcinogenic (Article 57a)
Mutagenic (Article 57b)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1e9b62307abf04f79e204bf3a53ef235_ed_30_2010_en.pdf,18-Jun-2010
